name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,RP,e_RP,BP,e_BP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J08225141+1848025,125.714216,18.800699,189.01,2.54,ms,nan,nan,nan,nan,13.361,0.03,17.102,0.003,15.889,0.005,18.679,0.018,0,1.08,0.2976,0.0036,41.78034,0.82865,81.48611,nan,nan,3.9925,0.40054,3314.126,5.686,nan,nan,nan,nan,nan,0.316822925,0.002167858
2MASS J08225179+2140108,125.715807,21.66967,192.6,1.4,ms,15.927,0.004,nan,nan,11.704,0.086,15.549,0.003,14.377,0.011,16.658,0.034,2,1.194,0.4632,0.0015,132.49616,1.5851,50.31301,nan,nan,5.51736,0.55185,3606.452,3.099,nan,nan,nan,nan,nan,0.47387117,0.00185932
2MASS J08230192+1424524,125.75802,14.414582,197.56,5.43,ms,nan,nan,nan,nan,14.238,0.063,18.234,0.003,16.942,0.012,19.988,0.068,0,0.959,0.204,0.0033,19.84367,0.86202,108.88066,nan,nan,3.04155,0.30727,3153.399,7.103,nan,nan,nan,nan,nan,0.241737685,0.004048683
2MASS J08230657+1839221,125.777409,18.656153,205.83,0.81,ms,nan,nan,nan,nan,9.02,0.018,10.039,0.003,9.654,0.004,10.27,0.003,0,1.064,1.2938,0.0024,12188.89444,110.4515,8.09491,4.43198,0.01779,8.73616,0.87364,6459.509,6.027,nan,nan,nan,nan,nan,1.421420206,0.003435522
2MASS J08231656+1224541,125.819008,12.415053,228.57,4.35,ms,nan,nan,nan,nan,13.8,0.043,17.433,0.003,16.25,0.007,18.935,0.021,0,1.036,0.3075,0.005,44.14444,1.23822,79.07003,nan,nan,4.08241,0.41073,3330.062,8.009,nan,nan,nan,nan,nan,0.322898542,0.003053537
2MASS J08233207+1455113,125.88364,14.919809,182.46,3.26,ms,nan,nan,nan,nan,13.408,0.037,17.315,0.003,16.067,0.006,19.067,0.032,0,0.935,0.2625,0.0045,34.21829,0.9975,90.69062,nan,nan,3.67175,0.36933,3258.804,6.807,nan,nan,nan,nan,nan,0.295148605,0.002949613
2MASS J08233656+4638524,125.902359,46.647903,132.85,2.4,ms,nan,nan,nan,nan,13.549,0.039,17.503,0.003,16.226,0.007,19.346,0.035,0,1.051,0.1967,0.0022,18.05859,0.51513,111.40777,nan,nan,2.94488,0.2959,3137.654,4.698,nan,nan,nan,nan,nan,0.232762775,0.002677911
2MASS J08235596+0656164,125.983186,6.937914,265.31,1.93,ms,nan,nan,nan,nan,12.048,0.027,15.046,0.003,14.09,0.004,15.975,0.004,0,1.102,0.6085,0.0017,323.14874,1.64861,34.04666,nan,nan,6.72493,0.67257,3966.929,3.315,nan,nan,nan,nan,nan,0.612308341,0.000386752
2MASS J08235720+0229239,125.988335,2.489974,199.06,3.94,ms,nan,nan,nan,nan,13.649,0.045,17.385,0.003,16.179,0.006,18.858,0.034,0,0.961,0.2768,0.0052,37.24503,1.08648,86.81026,nan,nan,3.80079,0.38319,3280.857,8.325,nan,nan,nan,nan,nan,0.304139098,0.003173919
2MASS J08240213+4116544,126.008913,41.281796,161.49,3.05,ms,nan,nan,nan,nan,13.888,0.047,17.939,0.003,16.633,0.008,19.875,0.072,0,1.036,0.1961,0.0023,17.90193,0.53386,111.64471,nan,nan,2.93594,0.29514,3136.199,4.908,nan,nan,nan,nan,nan,0.23193321,0.0027978
2MASS J08240780+3007523,126.032512,30.131203,170.67,0.62,ms,nan,nan,nan,nan,11.012,0.021,13.826,0.003,12.92,0.004,14.679,0.003,0,1.062,0.6377,0.001,378.35828,2.59982,31.58695,nan,nan,7.10363,0.71058,4087.386,5.452,nan,nan,nan,nan,nan,0.628279965,0.000743492
2MASS J08240933+2001249,126.038905,20.0236,183.17,12.4,ms,nan,nan,nan,nan,12.186,0.02,15.646,0.01,14.397,0.004,16.608,0.006,0,nan,0.4433,0.0138,113.69688,12.70266,53.20867,nan,nan,5.33531,0.54937,3566.579,27.598,nan,nan,nan,nan,nan,0.449947465,0.016558901
2MASS J08241039+1719354,126.04331,17.326509,194.46,12.03,ms,nan,nan,nan,nan,14.718,0.094,19.261,0.004,17.883,0.012,21.272,0.127,1,1.126,0.1494,0.0057,9.49391,0.89492,129.67051,-6.3886,0.89617,2.2768,0.24879,3017.948,18.836,nan,nan,nan,nan,nan,0.183060966,0.005795781
2MASS J08242102-0801507,126.08759,-8.030767,271.88,1.94,ms,nan,nan,nan,nan,10.599,0.026,12.935,0.003,12.198,0.005,13.536,0.006,0,1.386,0.8517,0.0035,1536.29191,12.41386,18.93787,nan,nan,9.36569,0.93699,5155.458,6.117,nan,nan,nan,nan,nan,0.794091627,0.001223311
2MASS J08242157+0944008,126.089892,9.733566,242.42,13.19,ms,nan,nan,nan,nan,14.507,0.106,18.478,0.004,17.173,0.009,20.132,0.107,0,1.044,0.2151,0.0064,22.9288,1.98511,105.13268,nan,nan,3.18975,0.33015,3177.538,13.869,nan,nan,nan,nan,nan,0.255496465,0.00790559
