name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,BP,e_BP,RP,e_RP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J01161701+3405100,19.070889,34.086132,39.417675,0.08847045,ms,nan,nan,nan,nan,11.496,0.025,15.914,0.003,18.116,0.012,14.554,0.005,0,1.067,0.141,0.000,8.31321,0.03290,133.22557,-5.52824,0.14556,2.13414,0.21345,2990.178222,0.825990496,nan,nan,nan,nan,nan,0.174516376,0.000254151
2MASS J01165856+4653445,19.244010,46.895718,58.96175,0.19597245,ms,nan,nan,nan,nan,11.793,0.022,15.906,0.003,17.822,0.011,14.600,0.004,0,1.177,0.183,0.000,15.19037,0.08011,116.22843,-4.40645,0.08183,2.76687,0.27675,3108.660398,0.951827684,nan,nan,nan,nan,nan,0.216437367,0.000399768
2MASS J01165948+4653234,19.247838,46.889843,58.6872559,0.0565319,ms,nan,nan,nan,nan,8.561,0.020,11.267,0.003,12.062,0.003,10.400,0.004,0,1.044,0.653,0.000,419.20474,0.89941,30.35294,0.50850,0.15442,7.40616,0.74064,4153.775438,1.32969108,13.8348,1.47E-13,6.67E-14,r,nan,0.64048621,0.00025929
2MASS J01182585+5341296,19.607723,53.691566,61.0845184,0.14717105,ms,nan,nan,nan,nan,11.249,0.023,15.318,0.003,17.162,0.009,14.034,0.004,0,1.221,0.220,0.000,24.52416,0.10682,103.43858,nan,nan,3.25874,0.32590,3188.773399,0.725949633,nan,nan,nan,nan,nan,0.261900837,0.000413791
2MASS J01184091+4528348,19.670471,45.476360,49.6362114,0.0580845,ms,nan,nan,nan,nan,10.291,0.020,14.051,0.003,15.615,0.006,12.841,0.004,0,1.367,0.307,0.000,43.91714,0.11649,79.29308,-1.64013,0.03142,4.07397,0.40742,3328.567135,0.766942671,nan,nan,nan,nan,nan,0.32232872,0.000292397
2MASS J01212932+2419500,20.372197,24.330570,27.0785255,0.02106955,ms,nan,nan,nan,nan,7.109,0.023,10.027,0.003,10.926,0.003,9.095,0.004,0,1.128,0.607,0.000,322.10361,0.35238,34.13968,0.47935,0.00593,6.71855,0.67186,3964.81831,0.712293393,nan,1.97E-13,7.09E-14,r,nan,0.612062136,8.31009E-05
2MASS J01214489+4612222,20.437045,46.206181,57.5617714,0.0816841,ms,nan,nan,nan,nan,7.967,0.026,9.975,0.003,10.486,0.003,9.310,0.004,0,1.132,0.783,0.000,1106.14149,3.55695,22.15891,0.99038,0.05126,9.34413,0.93442,4850.311436,3.137158032,nan,nan,nan,nan,nan,0.757106371,0.000325335
2MASS J01254187+1339222,21.424480,13.656189,30.3650894,0.05501935,ms,nan,nan,nan,nan,10.889,0.020,15.289,0.003,17.494,0.010,13.930,0.004,0,1.149,0.144,0.000,8.65554,0.02962,132.13376,nan,nan,2.17459,0.21749,2998.616348,0.714272887,nan,nan,nan,nan,nan,0.177112723,0.000219776
2MASS J01254889+6014070,21.453736,60.235291,31.1917477,0.3504305,giant,nan,nan,nan,nan,1.633,0.086,2.679,0.004,3.152,0.029,2.456,0.019,2,4.492,3.120,0.030,435121.86994,15763.20074,0.00000,nan,nan,nan,nan,11639.76986,74.93305874,nan,nan,nan,nan,nan,2.70732178,0.01732827
2MASS J01270527+3754153,21.771996,37.904263,41.6353416,0.039114,ms,nan,nan,nan,nan,9.992,0.018,13.852,0.003,15.507,0.006,12.615,0.004,0,1.311,0.284,0.000,38.82988,0.09504,84.83433,nan,nan,3.87138,0.38716,3292.921775,0.70777334,nan,nan,nan,nan,nan,0.308738927,0.000269839
2MASS J01343901+4817319,23.662556,48.292213,55.4495354,0.0773201,ms,nan,nan,nan,nan,9.373,0.018,12.781,0.003,14.001,0.004,11.683,0.004,0,1.338,0.462,0.000,131.57930,0.41710,50.44032,nan,nan,5.51078,0.55109,3604.642515,0.824700513,nan,nan,nan,nan,nan,0.472785509,0.00049482
2MASS J01361774+2940545,24.073927,29.681814,37.9570045,0.0240345,ms,nan,nan,nan,nan,9.610,0.021,13.447,0.003,15.070,0.004,12.217,0.004,0,1.227,0.309,0.000,44.55711,0.09920,78.66983,-1.05636,0.18763,4.09760,0.40978,3332.755726,0.643884201,nan,nan,nan,nan,nan,0.32392562,0.000245481
2MASS J01363949+2133470,24.164551,21.563072,34.7669983,0.0197372,ms,nan,nan,nan,nan,6.880,0.026,8.933,0.003,9.463,0.003,8.254,0.004,0,0.864,0.776,0.000,1057.24849,3.35489,22.51430,1.06807,0.01443,9.29505,0.92951,4812.575353,2.260460218,10.4844,2.65E-13,8.13E-14,r,nan,0.751818108,0.00041278
2MASS J01370724+4016533,24.280180,40.281475,38.8334961,0.07815745,ms,nan,nan,nan,nan,11.240,0.016,15.509,0.003,17.583,0.012,14.176,0.004,0,1.191,0.157,0.000,10.75331,0.03942,126.43368,nan,nan,2.41549,0.24158,3043.994962,0.765170681,nan,nan,nan,nan,nan,0.191075373,0.000235437
2MASS J01374851+3823318,24.452142,38.392170,39.6153564,0.0336113,ms,nan,nan,nan,nan,9.665,0.020,13.585,0.003,15.269,0.005,12.340,0.004,0,1.500,0.304,0.000,43.22199,0.10266,79.98708,-7.51651,0.05323,4.04791,0.40481,3323.947566,0.686858014,nan,nan,nan,nan,nan,0.320567509,0.000261865
2MASS J01390214+5211296,24.758921,52.191570,57.4559364,0.10406115,ms,nan,nan,nan,nan,11.518,0.019,15.240,0.003,16.817,0.006,14.027,0.004,0,1.056,0.217,0.000,23.57063,0.08420,104.43355,nan,nan,3.21807,0.32183,3182.149153,0.595616981,nan,nan,nan,nan,nan,0.258125017,0.000339502
2MASS J01421511+4845428,25.562963,48.761902,27.7815876,0.05056475,ms,nan,nan,nan,nan,11.428,0.018,16.063,0.003,18.640,0.021,14.643,0.004,0,1.087,0.112,0.000,4.92093,0.01175,146.68867,-12.84457,0.15430,1.54484,0.15451,2865.114119,0.65393762,nan,2.09E-13,8.55E-14,r,0,0.145726402,0.00010354
2MASS J01460505+4130493,26.521062,41.513710,40.5598145,0.02940175,ms,nan,nan,nan,nan,9.760,0.024,13.692,0.003,15.391,0.006,12.440,0.004,0,1.103,0.297,0.000,41.62573,0.09514,81.65189,-8.62025,0.05941,3.98644,0.39866,3313.052339,0.660999533,3.3828,4.91E-13,9.70E-14,rs,nan,0.316413704,0.000252006
2MASS J01474918+4430090,26.954932,44.502522,53.1292114,0.2531376,ms,nan,nan,nan,nan,12.564,0.024,17.133,0.003,19.603,0.039,15.733,0.005,0,1.014,0.119,0.000,5.78887,0.02999,142.97472,nan,nan,1.74819,0.17495,2909.669928,1.417410383,nan,nan,nan,nan,nan,0.152781072,0.000224423
2MASS J01485331+5713494,27.222164,57.230392,53.0932159,0.13360595,ms,nan,nan,nan,nan,12.204,0.023,16.606,0.003,18.877,0.021,15.241,0.004,0,1.019,0.139,0.000,8.05733,0.03474,134.07850,nan,nan,2.10280,0.21032,2983.640686,0.899559693,nan,nan,nan,nan,nan,0.172504827,0.000276788
2MASS J01491501+4007330,27.312557,40.125858,37.6149902,0.044323,ms,nan,nan,nan,nan,10.603,0.018,14.720,0.003,16.622,0.006,13.422,0.004,0,1.293,0.195,0.000,17.66488,0.05030,112.00833,nan,nan,2.92227,0.29224,3133.972073,0.474939303,nan,nan,nan,nan,nan,0.230664081,0.000270715
2MASS J01491526+4007441,27.313613,40.128933,37.6563721,0.0293293,ms,nan,nan,nan,nan,9.567,0.020,13.363,0.003,14.928,0.004,12.149,0.004,0,1.493,0.317,0.000,46.60672,0.10829,76.76827,nan,nan,4.17107,0.41712,3345.776746,0.671917628,nan,nan,nan,nan,nan,0.328889884,0.000256169
2MASS J01532073+2326411,28.336382,23.444777,41.282341,0.04114345,ms,nan,nan,nan,nan,8.405,0.023,11.650,0.003,12.733,0.004,10.616,0.004,0,1.307,0.526,0.000,187.94977,0.50613,42.29385,nan,nan,5.96993,0.59700,3732.653559,1.070620438,nan,nan,nan,nan,nan,0.529400937,0.000418515
2MASS J01533076+0147559,28.378207,1.798880,21.1157055,0.0115547,ms,nan,nan,nan,nan,9.879,0.021,14.176,0.003,16.256,0.007,12.836,0.004,0,1.277,0.158,0.000,10.82781,0.02416,126.25697,-7.40610,0.04803,2.42317,0.24233,3045.438761,0.466069267,0.1993,9.53E-14,2.55E-14,s,nan,0.191519619,0.000143406
