Name,RAJ2000,DEJ2000,memclass,Kmag,e_Kmag,r_K,Gmag,e_Gmag,BP-RP,bin,RUWE,D,e_D,mass,e_mass,Lbol,e_Lbol,tau,Prot,EW,e_EW,chi,e_chi,NSPTP
Gaia DR3 1406274306774057600,246.7709976,43.87802845,ms,12.895,0.034,2M,16.988384,0.004136,3.210744,0,1.655,121.026527,1.1187285,0.220272627,0.003183464,24.53593304,1.037914526,103.4266048,nan,-6.353718426,0.348708644,3.259228334,0.036622796,44
Gaia DR3 1406959684771344000,250.3127649,46.05091915,ms,12.841,0.025,2M,16.658482,0.002883,2.879613,0,1.041,123.845314,0.5806655,0.228666811,0.002177348,27.36830905,0.786637984,100.7416875,nan,nan,nan,3.369219249,0.025663835,43.5
Gaia DR3 1407864131871286656,253.918545,47.59250008,ms,11.1586036,0.085579421,GBP,15.217279,0.002908,2.439764,0,1.101,106.746933,0.4815865,0.432567884,0.017310007,106.2192152,11.12943711,54.84711855,nan,nan,nan,5.224746233,0.183622924,44
Gaia DR3 1407864136164159616,253.9211507,47.59140669,ms,7.209,0.021,2M,8.410451,0.002762,0.701015,1,3.653,106.813309,0.488735,1.454101289,0.006544581,19186.067,587.0491625,0,nan,nan,nan,nan,nan,19
Gaia DR3 1407878532895004160,253.2722051,47.28886719,ms,11.605,0.019,2M,15.599647,0.003559,2.598671,0,14.919,114.337082,6.5502395,0.3891344,0.009927898,77.70614809,9.409238971,62.12127054,nan,-1.491563091,0.179567947,4.778097303,0.011141449,44
Gaia DR3 1408527485273660416,251.6191656,47.0050657,ms,7.974,0.017,2M,9.053322,0.002761,0.649013,0,0.925,116.521614,0.123016,1.199558405,0.00284193,8709.19599,192.0574039,9.478375412,nan,3.934574024,0.202309845,8.978727217,0.012357688,16
Gaia DR3 1409763301983181440,246.486384,46.31939705,ms,12.737,0.026,2M,16.433475,0.002836,2.705827,0,1,131.612701,0.5784225,0.263760684,0.004261219,34.48460532,0.943148106,90.34946403,nan,nan,nan,3.682496444,0.035108126,43
Gaia DR3 1409950523901290368,246.3476541,46.45522523,ms,10.43295285,0.08557737,GBP,14.799631,0.002847,2.680289,0,3.755,107.328194,0.6203385,0.551515092,0.012414968,227.5125638,25.14187504,39.53845724,0.388253574,-5.339546301,0.055393276,6.203396499,0.105289097,45
Gaia DR3 1409950528197447808,246.3478711,46.45485832,ms,nan,nan,nan,16.788874,0.003422,nan,0,1.288,107.022728,0.9699895,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
Gaia DR3 1411408068298936320,247.2023425,48.87694863,ms,12.495,0.023,2M,16.213371,0.002945,2.791217,0,1.052,114.025192,0.4034235,0.253091634,0.003726822,32.23186035,0.769674094,93.37265656,1.3,-5.83360686,0.13458454,3.588853857,0.031057189,43
Gaia DR3 1411785887981739008,249.5398478,50.53567922,ms,13.181,0.036,2M,17.154684,0.00289,3.06973,0,0.949,126.969452,0.777485,0.205588171,0.003097163,20.26765375,0.833644583,108.3229197,nan,-7.28426818,0.41986596,3.063232212,0.038777078,44
Gaia DR3 1411879690067155840,250.7100144,48.22548808,ms,8.234,0.014,2M,10.723765,0.003465,0.994463,1,8.273,107.105888,2.29739,1.043694843,0.018784061,4870.887702,364.0905836,12.65145289,16,1.603147232,0.044242538,9.433103535,0.010607348,36
